id_i                                  ,parent_id_i                           ,path_i                                ,type_i                ,name_s                ,property_ri,order_s,from_h,to_h
"ecb8bb09-8dd6-4766-9244-ceeabe93f251","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Terms"               ,"dc83f433-e3d3-4ea1-8901-43af6050cfff",1      ,"0"   ,
"76069326-e998-44b8-b02a-76ecf87189ea","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Data Quality"        ,"65d10524-47e9-4b97-9981-6d0a2ce0a489",2      ,"0"   ,
"47a047ab-c639-4d93-af24-b943c567e99a","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Data Source"         ,"c69c3ac9-c184-43c3-9b36-bcc0c976879a",3      ,"0"   ,
"b51b3a49-148f-4b3e-b18c-e837728dd3f7","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Location"            ,"ad4a2e56-2605-40a2-a924-8f070adac1d0",4      ,"0"   ,
"fcff1477-7162-48ae-b99b-4535a564b8f6","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Number of Attributes","5c9a46f9-f9d7-41df-a53a-b243bc4375a2",5      ,"0"   ,
"c6f08c0d-be94-4cff-80bb-2755e0c2baf5","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Number of Records"   ,"e2e87883-bb51-4241-b59c-b1aca69858db",6      ,"0"   ,
"2ef068ca-0251-45b2-b6ac-1a4bf8878b72","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Owner"               ,"91ef4df5-50b1-4f7f-a13f-fbfeb88b3edc",7      ,"0"   ,
"ddbef8b7-a507-4848-9cd7-01b99b774055","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Profile Date"        ,"4b19ccff-8545-4611-8444-83b47d624af4",8      ,"0"   ,
"f80fc5a8-3fc6-4067-b265-2602b689e7ad","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Anomalies"           ,"0dfcc1b8-a42e-41c2-8026-13e343df272e",9      ,"0"   ,
"2b058305-7f2c-4d15-a81b-656e9d0061ef","5b4ebacf-3c32-4c50-9267-9cecb818611e","/searchConfiguration/propertyFilters","propertySearchFilter","Sugggested terms"    ,"dc83f433-e3d3-4ea1-8901-43af6050cfff",10     ,"0"   ,
